"","id","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana","Cluster"
"36381","ce863fea67fb250a18544b8f30a8ff3b",81,63,3,16.2,81,12,"3"
"36382","ce89dacc388ad08570da3c5229972ddc",18,18,3,18,16,18,"2"
"36383","ce8c073ce77a53eea92b8e9821249806",52,38,2,17.3333333333333,52,9,"2"
"36384","ce8df5800f7bb7872dda9285d956e1b2",305,106,3,29.1818181818182,258,27,"1"
"36385","ce8ebdfbe24f7dba8df737b508db423f",281,110,3,44.7142857142857,183,79,"1"
"36386","ce8f7a20c0b6de47901932b6be2cfc7c",11,10,2,10,10,3,"2"
"36387","ce904461b398855479d06d82b7114b24",25,25,2,25,25,11,"2"
"36388","ce906944c79a5a5e6d18f85183176155",90,53,2,30,90,25,"3"
"36389","ce913a939cdc512e9a83dd8900f97447",119,79,2,39.6666666666667,119,34,"3"
"36390","ce915cd0768651655ed71ea121498c09",61,51,2,30.5,61,27,"2"
"36391","ce91cf63ec81435e8f8c528779aa8b7a",73,66,2,36.5,73,21,"3"
"36392","ce91df77eaf80886ec52510adbefe22a",80,54,3,26.6666666666667,64,16,"3"
"36393","ce93121c6022ce0727cac27752a0ae70",24,24,2,24,24,21,"2"
"36394","ce943a95d48380f4740bcf890afadd29",137,81,2,27.4,137,26,"3"
"36395","ce9760876b4a2fe085d25f0c4310b162",67,60,2,33.5,67,19,"2"
"36396","ce9819f40eb591428d331cadefe4d2c7",27,27,3,27,29,27,"2"
"36397","ce996811a909f7460775005d542eadd4",25,25,2,25,25,11,"2"
"36398","ce9acf0ce468e58fd4b4550dfbc2a3f6",233,122,3,46.6,180,53,"1"
"36399","ce9b6fa8bfc5f0d7d6a7ce3dbd6d1be3",81,50,2,20.25,52,29,"2"
"36400","ce9e887c200fe781a88cb46c7bc4ec1e",174,127,3,43.5,174,33,"1"
"36401","ce9f8ef2b26d1c6a8fc5a658190d4965",62,53,2,31,62,22,"2"
"36402","cea07a1c5895565aa344f0691a9587a3",16,16,2,16,16,8,"2"
"36403","cea09f146647332b32cbfd0a0b423d5f",75,39,3,25,51,24,"2"
"36404","cea152313e228d183717ac6ca97dfce8",120,77,3,20,120,18,"3"
"36405","cea2f3149e3ab929122ddbb240b4a60e",54,54,2,54,54,54,"2"
"36406","cea36f07895ae34f1b7fb3076d6d3593",13,13,2,13,13,12,"2"
"36407","cea3f4514782297937d2f58865163485",32,32,2,32,32,19,"2"
"36408","cea54d0cb33381f735b0a377c37d3e30",150,78,3,37.5,150,34,"3"
"36409","cea7c5878f2021c2e8d9fc7ff2b0512e",12,12,3,12,9,12,"2"
"36410","cea817d3daa1caed1b99de6fb2e85723",36,32,3,18,20,36,"2"
"36411","cea836ec06d47f3e8ded81ca66cc075d",200,124,3,45.125,184,42,"1"
"36412","cea85ecae6de857e6f27e75fa697d05d",22,22,2,22,22,21,"2"
"36413","cea8fb52cb6635c74bac83edf8927d85",249,76,2,8,8,76,"3"
"36414","ceac88130ff794f1145386cbee3866ec",18,14,2,9,18,5,"2"
"36415","ceade91140314d2ae6be816780825805",29,29,2,29,29,16,"2"
"36416","ceb0db9ab2abc6ce8cbe5af1aabd671a",99,89,3,49.5,98,40,"3"
"36417","ceb1d78f500435138a087b0c62a717d2",85,49,2,28.3333333333333,85,26,"3"
"36418","ceb2ca67c4b04db351c3a68775bfb8fc",67,51,2,33.5,67,23,"2"
"36419","ceb7103be32823d7fe015a60cfc517b2",14,11,3,8.5,6,8,"2"
"36420","ceb895e4e8a5fd84de902469eb56c0ba",249,76,2,8,8,76,"3"
"36421","cebc23834e52e3311f885a61b7994a4d",206,92,3,29.4285714285714,206,22,"1"
"36422","cebef8cf1dc623c7c85c3a5d322d7d91",18,18,2,18,18,11,"2"
"36423","cec2841d62eec994226db812a74cfb4f",168,112,2,56,168,55,"1"
"36424","cec484c1e991c0c03087635265e56a90",106,79,3,35.3333333333333,74,32,"3"
"36425","cec4b1b585d88c99b4e4cc6e7782a894",11,11,2,11,11,9,"2"
"36426","cec71df24adedfb7cceb1dac10d7cf36",58,58,2,29,58,15,"2"
"36427","cecb68dcf271ef252233b3b349fce0a3",68,68,2,34.5,68,15,"2"
"36428","cecbb4156d51a993e5d4887d11db4e77",243,107,3,48.6,192,51,"1"
"36429","cecc41c6701b7f6a631e135c544bd825",32,16,3,10.6666666666667,32,9,"2"
"36430","cecff4f629c6c284bb0130a7015bc753",85,73,2,42.5,85,33,"3"
"36431","ced46d9000d36255e4d7445f6bfe43bd",11,11,2,11,11,9,"2"
"36432","ced649186b9e4c757ae618e3c96cf6d2",73,48,3,24.3333333333333,73,16,"2"
"36433","ced735f38b4e99d31cc09f03c4c26157",16,15,2,8,16,5,"2"
"36434","ced77ebf1cb44458778d8db5b4604d17",42,42,2,42,42,20,"2"
"36435","ced7e0d9134bdf5be1bda7a700d573d7",45,43,2,22.5,45,10,"2"
"36436","cedada0003b3960c7ece669007f612b2",272,129,3,54.4,176,55,"1"
"36437","cedbdafb92e5aa9628b5c2a0cf4d80fe",66,60,2,33,46,20,"2"
"36438","cedc395af96a5aa3c7f616d2e2b855ce",27,27,2,27,27,16,"2"
"36439","cede0fbaff2aa3d83b05833c023eaca9",59,48,2,29.5,59,20,"2"
"36440","cedef8842c5aa9c0ac34d78e73fba7d8",188,89,3,37.6,188,32,"1"
"36441","cedf09d147f6ee8389a7011417416af6",142,79,2,35.5,142,28,"3"
"36442","cee0bf1fb20f6e6ffe42992dfc8f762f",25,25,2,25,25,11,"2"
"36443","cee2216738260fe3fb9b125122ab9ffc",146,102,3,16.2222222222222,129,17,"3"
"36444","cee4bec60200bdff2a7c9f12215bda6e",128,98,3,25.6,128,17,"3"
"36445","cee5417beeb98963712f44c55e8599c5",178,113,3,35.6,178,33,"1"
"36446","cee62a0ca56626674079796b8fa6905e",200,124,3,45.125,184,42,"1"
"36447","cee729e66963610fa036b49fee31ee2c",304,127,3,47.7272727272727,227,80,"1"
"36448","cee81091b1c4522e2967c76ac9df2843",41,22,3,10.25,28,13,"2"
"36449","ceeb06cbf6e686f55e540dfde5b53c8c",289,113,3,22.2307692307692,184,70,"1"
"36450","ceebcbae3d48a2a1477f10fc104a80c4",66,44,3,13.2,56,10,"2"
"36451","ceed3878ab2ea76f8b652a3fc591cb84",114,73,3,28.5,114,24,"3"
"36452","ceeefe19860ca3e7a1ec0dbb745931e3",249,76,2,9,9,76,"3"
"36453","cef08f2bfcc8b24ea3a865a0bb0689bc",62,55,2,31,62,21,"2"
"36454","cef16d74be3c8ffe74d028b0e409ae18",143,85,3,35.75,143,26,"3"
"36455","cef3d9005e17e5f79ff64d3e13b99fb2",20,20,2,20,20,11,"2"
"36456","cef5d2931f6bf349d17de97e952e0199",210,105,3,40.7777777777778,214,26,"1"
"36457","cef71852308edbcbca7b5c20d9b67bc1",26,24,2,13,26,9,"2"
"36458","cef982044b90977f0bd5d6d79c612539",28,28,2,28,28,14,"2"
"36459","cefb83c4010e14039f15add4109e658b",61,61,2,31,61,17,"2"
"36460","cefc1946d12ef8f689fcd98970a9c9c1",66,60,2,33,3,66,"2"
"36461","cefdaff028765b91c42324353f3fa412",28,28,2,28,28,14,"2"
"36462","cefe7abac53440ca9d3c2e6346e31a56",65,65,2,32.5,65,17,"2"
"36463","cf0037b3b45511ee4f3a0a56cb3f48bd",30,30,2,30,30,28,"2"
"36464","cf00dd22dd86302e41002938488256f2",123,90,3,41,75,48,"3"
"36465","cf012c6335a1a6daa028bbefe9b0489a",33,25,2,16.5,33,11,"2"
"36466","cf0302dc9cc2a064b53c4c26a8cf83ea",249,76,2,8,8,76,"3"
"36467","cf03c444fa64314c0586ea1cca6525ea",236,121,2,47.7142857142857,236,45,"1"
"36468","cf041586e936649e26e3d35c7699521d",114,83,2,28.5,114,26,"3"
"36469","cf0a76359a0aad5d52a6d2ca5503e8e6",11,10,2,10,2,6,"2"
"36470","cf0c83ecbb7e74fa7c8dc6db159a3107",34,34,2,34,34,16,"2"
"36471","cf0dad933ad35a2a7c397eb0ebc48cf2",292,113,2,50.6666666666667,184,74,"1"
"36472","cf0f5d5f2fa7fefdeb3b12619fb09564",18,18,2,18,18,11,"2"
"36473","cf0f60dce30221995b855e2c8f5e0f7f",45,39,2,11.25,33,12,"2"
"36474","cf122255ee21620239736276a33cbcf8",206,112,3,51.5,206,36,"1"
"36475","cf14bdcdd8add907644ec98fe27a263c",72,59,2,36,72,31,"3"
"36476","cf189639c90c38d9435fab68707459ae",42,42,2,42,42,20,"2"
"36477","cf1b2d817be76d800229e788f2ed1251",35,31,2,17.5,35,8,"2"
"36478","cf1b328005f7ae2c97300198f7aa8f1b",181,107,3,45.25,181,31,"1"
"36479","cf1be53ee6574a85649c4e404e8ede9e",29,29,2,29,29,16,"2"
"36480","cf1e824389a7e8ae3f520e596374803a",165,103,2,55,57,77,"3"
"36481","cf1ea6da4d3e6e74e9d72d89d22f4d80",102,76,3,25.5,102,22,"3"
"36482","cf1fb903019c6851b9c065ba65656ebf",82,66,2,41,82,30,"3"
"36483","cf1feebced2e92380c0933452b563920",22,14,2,11,22,5,"2"
