"","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana"
"Cluster 1",242.747318936389,109.444836198031,2.71881886293521,37.9608990425209,186.836051123843,46.3907742030263
"Cluster 2",35.5322141560799,31.7135889292196,2.18466424682396,24.1838105697027,31.1679900181488,18.4230565638234
"Cluster 3",121.569822087949,76.3545652903659,2.47826451829473,33.1076602645145,93.6351124538436,35.7948136958711
"Fichero completo",89.4548050740519,55.2034048393881,2.34260919616568,28.6140254021804,71.1049124438246,27.220251931549
