id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
fa7e5e66b22dd9591923c79e6bdbdc60,63,63,1,441,63,0,01026,2
979d244cabeca9a7311405b76f82f515,293,128,4,512.75,293,0,01012,4
fefc23ecb68ccb447e922e2a15bba812,43,39,2,150.5,20,23,01026,1
92b5d70ef2a45a17889a0625a3999892,33,33,1,231,33,0,08010,1
d078a9c8e5469aedd9fa03a04331a467,11,11,1,77,0,11,01012,1
9f4d9032237c2770569b26aa017bcfde,40,40,1,280,40,0,10200,1
15dd4972e4cb0f1454198bff134b573d,43,30,2,150.5,21,22,01012,1
935ba4d882a87e258c05d67fcc4073d4,119,76,4,208.25,75,44,05041,3
f638e5065ad0b85cfbc15b001f0c86bf,109,81,2,381.5,109,0,10200,3
eb56a4ed45e1c7183a6a5cff2cae249b,32,32,1,224,0,32,01012,1
530db3e7107892b92b19a568ae5456ea,44,44,1,308,44,0,05100,1
63f4c3ddd31bdad6e296ef9dd44d742a,32,32,1,224,32,0,08052,1
95fe8a8ab2e518cd36d948e7ffb07422,34,34,1,238,34,0,05041,1
d669d9becb99d7b3f97ab43c47dce4e0,105,65,2,367.5,105,0,06100,3
819eb3ea52f6d078be7060edce469fa7,2,1,2,7,2,0,11040,1
bad15461c0a146c31bf6aee44095eb7e,38,37,2,133,38,0,01013,1
02315c579e26e580df04f785b76a0fc6,20,20,1,140,20,0,11100,1
3db180623d82768ba6a13ec91a981954,154,127,3,359.33333333333337,154,0,01027,3
ad8ee145c2ae0bbb5b6f917f97f2b7e7,30,22,3,70,24,6,11140,1
f14309a5a486d1fb7daad91489fc9dfe,45,42,1,315,45,0,13690,1
33a6a5b2ac1c560efd9b8c77660e2211,247,90,4,432.25,247,0,01012,4
546b7fc68c1b4045e96ab4195cb6f427,180,102,2,630,180,0,05040,3
92f40c9476778d52cfb089a2abb57560,17,17,1,119,17,0,07133,1
54c0ac31da6f0995bf2855f1a5ff9ea0,86,44,2,301,30,56,05030,2
f8f45a18b4324c8fafa121379984290a,124,102,2,434,124,0,01026,3
25f99c417d2c2abfefa8a6ccc35d3f96,63,53,2,220.5,63,0,09010,2
2701c33bb969ddc70860de22477ab41a,57,46,2,199.5,57,0,05040,1
0376cd67caf908f1578245b6a549ff68,106,82,3,247.33333333333334,78,28,01013,3
b2e6bbc7543902abfc6a13b33aa795f5,142,87,3,331.33333333333337,106,36,05040,3
02e9d47b471b0ba97dba362f5cde3095,151,87,4,264.25,100,51,01027,3
b6e9d3b86d5b7e828de8f84eb5715868,33,33,1,231,33,0,10240,1
ace2a0e85c4710c66485aa2f7821d032,40,40,1,280,40,0,01013,1
14828351d412ce9cc1df8a1568d3ea2b,20,20,1,140,20,0,05040,1
59350bdb56599e558748602d1841b911,20,20,1,140,20,0,11100,1
6e5844a8b4051615dedf0233c41fb7a3,101,64,2,353.5,101,0,01026,3
0c926782d86a4e4335a78ff75c3e15aa,56,46,2,196,56,0,11100,1
0d205cccb830678e8f21558c3c330db5,177,110,3,413,177,0,02650,3
6aae42a92c0cdd9f511d132b353fce1a,32,32,1,224,32,0,03050,1
b7172f5ea27c7bbe406a8843e9cea6ed,291,157,3,679,198,93,05040,4
ee68f4fa8d581b11ba207a9f083fba8e,142,101,2,497,142,0,04020,3
2cddd7aeb12ad9a3b3102435b925fbd7,99,68,3,231,72,27,08052,3
547a19c294588985a3e670e94f9c1f71,18,18,1,126,18,0,03030,1
89a5046cc1cb741e04bf1a92b968553f,140,89,3,326.6666666666667,140,0,10200,3
904c358ab85ffb4a1cf7c028aa803f3a,11,11,1,77,11,0,09010,1
e776e150d656f12586779c90678ecb6c,242,111,2,847,242,0,05040,4
3d4e58d8e4e9fc950dc19ef86e1c2160,10,10,1,70,10,0,05030,1
9b767d3205e31d3a0ddaeaf888e66785,40,29,2,140,40,0,10153,1
4887a3948370ee3505a42f4e66b8a87d,26,26,1,182,26,0,03050,1
72f5ad29bc9b89db95f85da618f1c7fd,222,133,2,777,222,0,11040,4
06a0db990d326c4af6a29c5382433cc5,199,108,4,348.25,165,34,01026,4
b39a0f8454b01ab55dc0f199e467c368,128,98,3,298.6666666666667,128,0,05030,3
7fd3977ad48542cad97f24d0a134bdd3,36,36,1,252,36,0,05040,1
a9737b69b38ab586ea6ea6d7020940f1,10,10,1,70,0,10,11080,1
4e52f87060410c7ba322ba1e69a392eb,80,70,2,280,37,43,01013,3
6934466080fe195eb1ef5a98ab450dcc,17,11,2,59.5,17,0,10080,1
4f00997c3ae9bedf52e9ef1fee282a11,48,39,1,336,48,0,01012,1
6e853d6d717538dbe654bcba1becc561,181,66,3,422.33333333333337,181,0,08090,3
59eb73d57a483040f1812fdceefbecdb,45,41,1,315,45,0,04080,1
261b7ab8189b6d492faeff743b4d7013,55,47,2,192.5,55,0,05041,1
339f60858b616e858260b901097983bd,33,33,1,231,33,0,11100,1
d650d6326eb509604a72a4380c55ab35,14,14,1,98,14,0,01026,1
a765a8396ae163d800fddb02d5868376,55,45,2,192.5,55,0,01201,1
1e920afbe363e63a970ede60a6d8c4e8,66,50,2,231,66,0,04060,2
fd198399ebd1cb601fa09587394e60cd,27,23,2,94.5,27,0,05040,1
b8cdaa1cefb3c69093295e22bef6928e,83,70,2,290.5,83,0,04060,2
4831b4e1841be6f0cacc4b49ed2c8717,1,1,1,7,0,1,11040,1
7821e7647cdd938289910f06aa0f37fd,150,105,3,350,101,49,04032,3
0a71231be3e6794a1da3201fdf2119d4,47,47,1,329,47,0,05100,1
ef8c8f7281ac9be453b3f8e2f0bb80f4,10,10,1,70,10,0,01026,1
78331764c4939755f52a1dc9ab43501f,17,17,1,119,17,0,01012,1
e8c63089ebef388dccf640a43cc412ea,254,127,3,592.6666666666667,162,92,05040,4
903e224ac4484a3f36adb8890abc16d8,309,170,4,540.75,222,87,05040,4
d1aa7f54c6f51cd753d6ca076f936b94,79,51,3,184.33333333333334,48,31,05040,2
e3b3548e054531ece5f4a859647fd77f,841,254,3,1962.3333333333335,841,0,05040,4
b507b7ac7877c8bdf03e5d3af69b721f,1,1,1,7,1,0,11100,1
3c9339dddd46b77f9bab8104c588edb6,245,134,3,571.6666666666667,195,50,08010,4
d931548e8b63ec7d14ac06db5f5150f3,29,29,1,203,29,0,01026,1
3e29208b4f3f26be1b159a8025aa7641,5,5,1,35,5,0,05030,1
