"cod_est","descripcion"
"05120101","NATA FRESCA"
"05120104","BECHAMEL Y OTRAS SALSAS"
"05120107","NATA COCINAR 200 Y MULTIPACK"
"05120109","NATA COCINAR MÁS DE  200 ML"
"05120116","NATAS UHT SALUD"
"05120198","NATA COCINAR ESPECIALIDADES"
"05120201","NATA MONTAR 200 Y MULTIPACK"
"05120210","NATA MONTAR MAS DE 200 ML"
"05120218","NATA SPRAY"
"05120220","NATA SPRAY SALUD"
"05120298","MONODOSIS NATA CAFE"
"05140101","MANTEQUILLA PASTILLA"
"05140102","MANTEQUILLA PASTILLA C/SAL"
"05140103","MANTEQUILLA TARRINA"
"05140105","MANTEQ TARRINA F.UNTAR Y SALUD"
"05140106","MANTEQUILLA LATA"
"05140107","MANTEQUILLA PORCIONES"
"05140108","MANTEQUILLA RULO Y REPOSTERIA"
"05140198","MANTEQUILLA OTROS TIPOS"
"05140201","MARGARINA FAMILIAR"
"05140202","MARGARINA MAIZ"
"05140204","MARGARINA SALUD CARDIO"
"05140210","MARGARINA SALUD COLESTEROL"
"05140215","MARGARINA SALUD  LIGERA"
"05160101","BATIDO CACAO INDIVIDUAL"
"05160102","BATIDO CACAO FAMILIAR"
"05160103","BATIDO VAINILLA INDIVIDUAL"
"05160104","BATIDO VAINILLA FAMILIAR"
"05160105","BATIDO FRESA INDIVIDUAL"
"05160106","BATIDO FRESA FAMILIAR"
"05160108","OTROS BATIDOS"
"05160205","HORCHATAS"
"05160301","LACTOZUMOS TROPICAL INDIVIDUAL"
"05160302","LACTOZUMOS TROPICAL FAMILIAR"
"05160310","LACTOZUMOS MEDITERRANEO INDIV"
"05160315","LACTOZUMOS MEDITERRANEO FAM"
"05160320","LACTOZUMOS VARIOS INDIVIDUAL"
"05160325","LACTOZUMOS VARIOS FAMILIAR"
"05160405","CHOCOLATE LIQUIDO"
"05161005","YOGURES TERMIZADOS BASICOS"
"05161010","YOGURES TERMIZADOS DESNATADOS"
"05161015","POSTRES TERMIZADOS"
"05180101","ZUMOS REFRIGERADOS NARANJA"
"05180102","ZUMOS REFRIGERADOS PIÑA"
"05180105","ZUMOS REFRIGERADOS MANZANA"
"05180110","ZUMOS REFRIGERADOS BERRIES"
"05180115","ZUMOS REFRIGERADOS SAB. VARIOS"
"05180120","ZUMOS REFRIGERADOS FRUIT-VEG"
"05180125","ZUMOS REFRIGERADOS HPP"
"05180130","ZUMOS REFRIGERADOS AGUA COCO"
"05180301","REFRESCO REFRIG.NARANJA INDIVI"
"05180302","REFRESCO REFRIG.NARANJA FAMILI"
"05180401","REFRESCO REFRIG.SABORES INDIVI"
"05180402","REFRESCO REFRIG.SABORES FAMILI"
"05200101","HUEVOS FRESCOS JAULA TALLA M"
"05200102","HUEVOS FRESCOS JAULA TALLA L"
"05200103","HUEVOS FRESCOS JAULA TALLA XL"
"05200301","HUEVOS FRESCOS SUELO TALLA M"
"05200302","HUEVOS FRESCOS SUELO TALLA L"
"05200303","HUEVOS FRESCOS SUELO TALLA XL"
"05200401","HUEVOS FRESCOS CAMPEROS"
"05200501","HUEVOS FRESCOS ECOLOGICOS"
"05200601","HUEVOS FRESCOS CODORNIZ"
"05200701","OVOPRODUCTOS-CLARA HUEVO"
"05250505","LECHE FRESCA ENTERA"
"05251005","LECHE FRESCA SEMIDESNATADA"
"05251505","LECHE FRESCA DESNATADA"
"06100101","PAN BLANCO"
"06100102","PAN SALUD INTEGRAL"
"06100105","PAN TRADICIONAL"
"06100107","PAN OTROS CEREALES Y SEMILLAS"
"06100108","PAN GRANEL"
"06100109","PAN MOSTRADOR"
"06100115","PAN SALUD OTROS"
"06100204","MOLDE FRESCO"
"06100205","BURGERS"
"06100206","OTROS"
"06100302","BOCADILLOS"
"06100308","OTRAS SOLUCIONES"
"06100310","PAN CONGELADO PARA HORNEAR"
"06100401","SIN GLUTEN"
"06120101","CROISSANT"
"06120103","NAPOLITANAS Y OTROS RELLENOS"
"06120105","MASAS FRITAS"
"06120107","HOJALDRES"
"06120111","MASAS BATIDAS"
"06120119","EMPANADAS Y BOLLERIA SALADA"
"06120120","BRIOCHES Y BOLLOS"
"06120121","GRANEL BOLLERIA"
"06120130","GALLETAS Y COOKIES"
"06120401","PASTAS DE TÉ"
"06120402","VOLOVANES Y TARTALETAS"
"06120404","MAGDALENAS FAB.EXTERNA"
"06120405","ROSQUILLAS"
"06120406","HOJALDRES FABRICACIÓN EXTERNA"
"06120407","SALUD FABRICACIÓN EXTERNA"
"06120408","BRIOCHES Y BOLLOS FAB.EXTERNA"
"06120409","CAMPAÑAS BOLLERIA"
"06120410","OTROS BOLLERIA FAB.EXTERNA"
"06120415","BIZCOCHOS FAB.EXTERNA"
"06140101","TARTAS PEQUEÑAS Y MINIS"
"06140102","TARTAS MEDIANAS"
"06140103","TARTAS GRANDES"
"06140110","TARTAS INFANTILES"
"06140201","BRAZOS VARIADOS"
"06140301","POSTRES, PORCIONES Y PASTELES"
"06140303","BOLLERIA RELLENA"
"06140402","CAMPAÑAS NACIONALES"
"06140501","TRENZAS"
"06140701","SALUD/INTOLERANCIAS."
"06141005","BANDAS Y HOJALDRES MINI"
"06141010","BANDAS Y HOJALDRES VARIADOS"
"06141505","DECORACION PASTELERIA"
"06190302","COMPR.  PAN TRADICIONAL"
"06190409","COMPR. GALLETAS Y COOKIES"
"07121505","SUC. ANGULA COCINAR"
"07121510","SUC. ANGULA CALENTAR Y LISTO"
"07122005","SUC. CANGREJO BARRITAS"
"07122010","SUC. CANGREJO RALLADO"
"07122505","SALMON LONCHAS"
"07122510","SALMON CONSUMO INDIVIDUAL"
"07122515","SALMON OTROS CORTES"
"07122520","SALMON ADEREZADO"
"07122525","OTROS AHUMADOS"
"07123005","LATA OCT. CANTABRICO"
"07123010","LATA OCT. NO CANTABRICO"
"07123015","TARRO CANTABRICO"
"07123020","TARRO NO CANTABRICO"
"07123025","OTROS FORMATOS CANTABRICO"
"07123030","OTROS FORMATOS NO CANTABRICO"
"07123035","BOQUERON EN VINAGRE"
"07123040","OTRAS VARIEDADES"
"07123045","GILDAS"
"07123505","MEJ. CONCHA NATURAL"
"07123510","MEJ. CONCHA EN SALSA"
"07123515","MEJ. SIN CONCHA"
"07124005","PULPO COC. ENTERO"
"07124010","PULPO COC. PATAS"
"07124015","PULPO COC. TROCEADO"
"07124505","PINTXOS"
"07124510","LANGOSTINOS"
"07124515","SOPAS"
"07124520","HUEVAS EN CONSERVA"
"07124525","SALAZONES, MOJAMAS Y OTROS"
"07131005","PESCADO MENUDO PFE"
"07131010","MERLUZA Y PESCADILLA PFE"
"07131015","BACALAO PFE"
"07131020","BONITO Y ATUN PFE"
"07131025","RAPE PFE"
"07131035","PESCADO SALVAJE OTROS PFE"
"07131040","PESCADOS PLANOS PFE"
"07131505","SALMON FILETE,LOMO,RODAJA PFE"
"07131510","SALMON OTROS CORTES PFE"
"07131515","LUBINA Y DORADA CRIANZA PFE"
"07131520","OTROS PESCADOS CRIANZA PFE"
"07132005","BACALAO DESALADO DESMIGADO"
"07132010","BACALAO DESALADO CORTES"
"07132015","BACALAO DESALADO LOMOS"
"07132020","BACALAO SECO DESMIGADO"
"07132025","BACALAO SECO CORTES"
"07132030","BACALADAS"
"07132035","OTROS CURADOS"
"07132505","PULPO, SEPIA Y CALAMAR PFE"
"07132510","OTROS CEFALOPODOS PFE"
"07133005","LANGOSTINO COCIDO GRANDE PFE"
"07133010","LANGOSTINO COCIDO PEQUEÑO PFE"
"07133015","LANGOSTINO CRUDO PFE"
"07133020","CRUSTACEO COCIDO PFE"
"07133025","CRUSTACEO CRUDO PFE"
"07133030","MARISCO OTROS PFE"
"07133505","COCINAR Y LISTO"
"07133510","RAPIDO Y FACIL"
"07141005","ANCHOA"
"07141008","SARDINAS"
"07141010","LIRIO/BACALADILLA"
"07141015","SALMONETES"
"07141020","OTROS PESCADOS MENUDOS"
"07141305","CABALLA-VERDEL"
"07141310","CHICHARRO-JUREL"
"07141605","GALLO"
"07141610","LENGUADO SALVAJE"
"07141615","OTROS PESCADOS PLANOS"
"07141905","PESCADILLA"
"07141910","MERLUZA PIEZA ANZUELO"
"07141915","MERLUZA PIEZA OTRAS"
"07141920","CORTES DE MERLUZA"
"07142205","COCOCHAS Y CARRILERAS"
"07142215","BACALAO PIEZA"
"07142220","CORTES BACALAO"
"07142505","PIEZAS DE RAPE"
"07142510","CORTES DE RAPE"
"07142805","PIEZAS DE BONITO"
"07142810","CORTES DE BONITO"
"07142815","ATUN Y OTROS TUNIDOS"
"07143105","PIEZAS DE SALMON"
"07143110","CORTES DE SALMON"
"07143405","LUBINA CRIANZA"
"07143410","DORADA CRIANZA"
"07143415","TRUCHA CRIANZA"
"07143420","RODABALLO CRIANZA"
"07143430","CORVINA CRIANZA"
"07143435","LENGUADO CRIANZA"
"07143440","OTROS PESCADOS CRIANZA"
"07143705","CONGRIO"
"07143710","LUBINA BESUGO Y OTROS SALVAJE"
"07143715","MARRAJO PEZ ESPADA"
"07143720","ZAPATERO"
"07143725","RAYA"
"07143730","CABRAS-GALLINETAS"
"07143735","OTROS CORTES DE PESCADO"
"07143745","OTROS PESCADOS"
"07144005","PULPO CRUDO"
"07144010","SEPIA FRESCA"
"07144015","SEPIA ELABORADA"
"07144020","CALAMAR ELABORADO"
"07144025","CALAMAR FRESCO"
"07144030","OTROS CEFALOPODOS"
"07144305","LANGOSTINO COCIDO"
"07144310","LANGOSTINO CRUDO"
"07144315","GAMBON"
"07144320","GAMBA"
"07144325","CIGALA"
"07144330","CRUSTACEOS VIVOS"
"07144335","CRUSTACEOS COCIDOS"
"07144340","CANGREJO DE RIO"
"07144345","PERCEBE"
"07144605","MEJILLON"
"07144610","ALMEJAS"
"07144615","NAVAJAS"
"07144620","OSTRAS"
"07144625","CARACOLES"
"07144630","OTRAS CONCHAS"
"08010101","ACEIT. RELL. ANCHOA LATA UNIT."
"08010102","ACEITUNAS RELLENAS ANCHOA PACK"
"08010103","ACEITUNAS RELLENAS PIMIENTO"
"08010105","ACEITUNAS RELLENAS VARIOS"
"08010301","ACEITUNA VERDE BOLSA SIN HUESO"
"08010302","ACEITUNAS VERDES CON HUESO"
"08010304","ACEITUNAS VERDES SIN HUESO"
"08010310","ACEITUNA VERDE BOLSA CON HUESO"
"08010502","ACEITUNAS NEGRAS CON HUESO"
"08010504","ACEITUNAS NEGRAS SIN HUESO"
"08010701","ACEITUNAS GORDALES"
"08010702","ACEITUNAS ESPECIALIDADES RESTO"
"08010901","PEPINILLOS"
"08010903","BANDERILLAS"
"08010905","CEBOLLITAS"
"08010907","ALCAPARRAS"
"08010909","GUINDILLAS"
"08010911","VARIANTES"
"08010913","COCKTAILS"
"08012005","ACEITUNAS SALUD PACK"
"08012010","ACEITUNAS SALUD UNITARIA"
"08031901","CACAHUETES"
"08031905","MAICES"
"08031907","SNACKS MICROONDAS"
"08031915","PALOMITAS"
"08031918","PIPAS GIRASOL CASCARA AGUASAL"
"08031920","PIPAS GIRASOL CASCARA CON SAL"
"08031925","PIPAS GIRASOL SABORIZADAS"
"08031930","PIPAS RESTO"
"08032101","ALMENDRAS"
"08032103","ANACARDOS"
"08032105","AVELLANAS"
"08032107","NUECES"
"08032109","PISTACHOS"
"08032113","COCKTAIL NOBLES"
"08032115","OTROS FRUTOS SECOS NOBLES"
"08032301","COCKTAIL CON CASCARA"
"08032303","COCKTAIL S/CASCARA HASTA 150G"
"08032310","COCKTAIL S/CASCARA MAS DE 150G"
"08032503","CIRUELAS"
"08032505","PASAS"
"08032511","OTRAS FRUTAS DESECADAS"
"08051505","PATATA SABOR LISA"
"08051510","PATATA SABOR ONDULADA"
"08051515","PATATA SAL LISA"
"08051520","PATATA SAL ONDULADA"
"08051525","PATATA TRADICIONAL ARTESANA"
"08051530","PATATA TRADICIONAL GOURMET"
"08051535","PATATA TUBO SABOR"
"08051540","PATATA TUBO SAL"
"08051545","PATATA SALUDABLES"
"08051550","FORMATO AHORRO PATATA"
"08052005","APERITIVO INFANTIL RESTO"
"08052010","APERITIVO INFANTIL SABOR"
"08052015","APERITIVO NACHOS"
"08052020","APERITIVO NACHOS SALSA"
"08052025","APERITIVO RESTO"
"08052030","APERITIVO RESTO COCKTAIL"
"08052035","APERITIVO RESTO CORTEZAS"
"08052040","APERITIVO RESTO CRUJIENTE"
"08052045","APERITIVOS SALUDABLES"
"08052050","FORMATO AHORRO APERITIVO"
"08090111","TOFFEE"
"08090113","MASTICABLE"
"08090115","CON PALO"
"08090120","BALSAMICO FRUTAL"
"08090123","BALSAMICO MENTOLADO"
"08090126","COMPRIMIDO FRUTAL"
"08090129","COMPRIMIDO MENTOLADO"
"08090132","GOMA AZUCAR"
"08090135","GOMA BRILLO"
"08090138","GOMA PICA"
"08090141","NUBE"
"08090144","REGALIZ NEGRO"
"08090147","REGALIZ RESTO BRILLO"
"08090150","REGALIZ RESTO PICA"
"08090153","RESTO"
"08090710","DISFRUTE FRUTAL GRAGEA"
"08090715","DISFRUTE FRUTAL LAMINA"
"08090720","DISFRUTE MENTOLADO"
"08090725","FUNCIONAL FRUTAL"
"08090730","FUNCIONAL MENTOL GRAGEA BOLSA"
"08090735","FUNCIONAL MENTOL GRAGEA BOTE"
"08090740","FUNCIONAL MENTOL GRAGEA MULTIP"
"08090745","FUNCIONAL MENTOL LAMINA"
"08091501","CELEBRACION"
"08092005","CAMPAÑA HALLOWEEN"
"08092010","CAMPAÑA NAVIDAD"
"08092015","CAMPAÑA RESTO"
"08100101","TOMATE NATURAL ENTERO"
"08100110","TOMATE TRITURADO HASTA 500G"
"08100115","TOMATE TRITURADO MAS DE 500G"
"08100120","ESPECIALIDADES"
"08100901","TOMATE FRITO LISO BRIK UNIT"
"08100903","TOMATE FRITO LISO BRIK PACK"
"08100905","TOMATE FTO LISO FCO HASTA 500G"
"08100907","TOMATE FRITO LISO FCO MAS 500G"
"08100909","TOMATE FRITO LISO LATA"
"08100913","TOMATE FRITO OLIVA"
"08100917","TOMATE FRITO CASERO HASTA 500G"
"08100919","TOMATE FTO CASERO MAS DE 500G"
"08100925","FRITADAS Y PISTOS"
"08110501","PIMIENTO ROJO LATA"
"08110505","PIMIENTO ROJO FRASCO"
"08110709","PIMIENTO PIQUILLO LATA"
"08110713","PIMI PIQUI FCO ENTERO BASICO"
"08110714","PIMI PIQUI FCO ENTERO PREMIUM"
"08110715","PIMI PIQUI FRASCO TIRAS"
"08110798","ESPECIALIDADES"
"08120915","ESPARRAGO FRASCO MEDIO"
"08120920","ESPARRAGO FRASCO GRUESO"
"08120925","ESPARRAGO FRASCO MUY GRUESO"
"08120930","ESPARRAGO FRASCOEXTRA GRUESO"
"08120935","ESPARRAGO LATA MEDIO"
"08120940","ESPARRAGO LATA GRUESO"
"08120945","ESPARRAGO LATA MUY GRUESO"
"08120950","ESPARRAGO LATA EXTR GRUESO"
"08121101","YEMAS DE ESPARRAGOS"
"08121103","TALLOS DE ESPARRAGOS"
"08121301","ESPARRAGOS VERDES"
"08131701","ALCACHOFA LATA"
"08131703","ALCACHOFA FRASCO"
"08131901","GUISANTES LATA PACK"
"08131903","GUISANTES LATA UNITARIA"
"08131905","GUISANTES FRASCO"
"08132103","CHAMPIÑON LAMINADO"
"08132105","CHAMPIÑON ENTERO"
"08132301","MACEDONIA"
"08132310","MEZCLA DE VERDURAS"
"08132501","BORRAJA"
"08132505","ESPINACAS"
"08132507","ACELGAS"
"08132509","PUERROS"
"08132513","CARDO"
"08132525","HABAS"
"08132530","PATATAS"
"08132598","VARIOS"
"08133005","ENSALADA PREPARADA FRASCO"
"08133010","ENSALADA PREPARADA LATA"
"08133505","MAIZ DULCE UNITARIO"
"08133510","MAIZ DULCE PACK"
"08133515","MAIZ SALUD"
"08134005","REMOLACHA"
"08134010","BROTES GERMINADOS"
"08134015","ZANAHORIA"
"08134020","INGREDIENTES ENSALADA VARIOS"
"08134505","SETAS"
"08134510","ROVELLONES"
"08135005","JUDIAS"
"08135505","MENESTRA"
"08150101","MERMELADA/CONFITURA MELOCOTON"
"08150103","MERMELADA/CONFITURA CIRUELA"
"08150105","MERMELAD/CONFITURA ALBARICOQUE"
"08150107","MERMELADA/CONFITURA FRESA"
"08150115","MERMELADA/CONFITURA ARANDANOS"
"08150120","MERM/CONFITURA FRUTOS ROJOS"
"08150125","MERMELADA/CONFITURA NARANJA"
"08150130","MERMELADA/CONFITURA FRAMBUESA"
"08150198","MERMELADA/CONFITURA VARIOS"
"08150701","MERM/CONFITURA DIET MELOCOTON"
"08150703","MERM/CONFITURA DIET CIRUELA"
"08150705","MERM/CONF. DIET ALBARICOQUE"
"08150707","MERM/CONFITURA DIET FRESA"
"08150708","MERM/CONF. DIET FRUTOS ROJOS"
"08150709","MERM/CONFITURA DIET VARIOS"
"08151101","PICOS MEMBRILLO Y VARIOS"
"08151505","MERMELADA CULINARIA VARIOS"
"08170101","MELOCOTON HASTA MEDIO KILO"
"08170103","MELOCOTON MAS DE MEDIO KILO"
"08170110","MELOCOTON PACK"
"08170205","MELOCOTON VARIOS"
"08170301","PIÑA HASTA MEDIO KILO"
"08170303","PIÑA MAS DE MEDIO KILO"
"08170310","PIÑA PACK"
"08170505","COCKTAIL"
"08170507","PERA"
"08170515","CEREZAS"
"08170525","RESTO ALMIBARES"
"08190105","MIEL MILFLORES HASTA 500 G"
"08190107","MIEL MILFLORES G C/DOSIFICAD"
"08190109","MIEL MILFLORES MAS DE 500 GRS"
"08190301","MIEL AZAHAR/NARANJO"
"08190303","MIEL BOSQUE"
"08190305","MIEL BREZO"
"08190311","MIEL ROMERO"
"08190315","OTRAS MIELES MONOFLORALES"
"08190503","MIEL SALUD"
"08190509","OTRAS VARIEDADES DE MIEL"
"08210101","LECHE EN POLVO"
"08210301","LECHE CONDENSADA GRANDE"
"08210303","LECHE CONDENSADA PEQUEÑA"
"08210605","LECHE ALMENDRA"
"08210915","LECHE EVAPORADA"
"08230107","VENTRESCA ATUN CLARO"
"08230111","ATUN CLARO ESCABECHE"
"08230113","ATUN CLARO NATURAL"
"08230120","ATUN CLARO EN ACEITE GIRASOL"
"08230125","ATUN CLARO EN ACEITE OLIVA"
"08230309","ATUN ESCABECHE"
"08230311","ATUN NATURAL"
"08230315","ATUN EN ACEITE GIRASOL"
"08230320","ATUN EN ACEITE OLIVA"
"08230707","VENTRESCA DE BONITO"
"08230709","BONITO ACEITE"
"08230711","BONITO ESCABECHE"
"08230901","MEJILLON PACK"
"08230903","MEJILLON LATA"
"08231101","SARDINA ACEITE"
"08231103","SARDINA ESCABECHE"
"08231105","SARDINA TOMATE"
"08231107","SARDINA PICANTE"
"08231301","SARDINILLA ACEITE"
"08231310","SARDINILLA ESCABECHE"
"08231315","SARDINILLA PICANTE"
"08231320","SARDINILLA TOMATE"
"08231501","CALAMAR "
"08231510","CHIPIRON"
"08231701","PULPO "
"08232101","BERBERECHO "
"08232501","CABALLA NORTE"
"08232503","CABALLA SUR"
"08232701","MELVA"
"08232703","GULA"
"08232709","HUEVAS"
"08232711","OTRAS CONSERVAS"
"08232715","BACALAO"
"08232720","ZAMBURIÑA"
"08232725","ALMEJA"
"08232730","NAVAJA"
"08232735","NAVAJUELA"
"08250101","PATE/CREMA TOST.CARNICO CERDO"
"08250105","PAT/CREMA TOST.CARNICO PREMIUM"
"08250107","PATE/CREMA TOST.CARNICO VARIOS"
"08250110","PATE/CREMA TOST. VARIOS"
"08250301","PATE BOCADILLO PESCADO"
"08250305","PATE BOCAD. CARNICO CERDO PACK"
"08250310","PATE BOCAD. CARNICO UNITARIO"
"08250315","PATE BOCAD CARNICO  VARIOS"
"08312005","MINI ADULTO - 1,5K"
"08312010","MINI ADULTO + 1,5K"
"08312015","MINI ESPECIALIDADES"
"08312020","MED/MAXI ADULTO - 5K CARNE"
"08312025","MED-MAX ADULT - 5K CARNE ROJA"
"08312030","MED-MAX - 5K ESPECIALIDADES"
"08312035","MED-MAX ADULT + 5K CARNE ROJA"
"08312040","MED-MAX ADULT+ 5K CARNE BLANCA"
"08312050","MED/MAX + 5K ESPECIALIDADES"
"08312505","LATON"
"08312510","LATA"
"08312515","TARRINAS MINI RACION IND POLLO"
"08312520","TARRINAS MINI RACION IND VARIO"
"08312525","TARRINAS MINI MPACK"
"08312530","TARRINAS MED/MAXI CARNE"
"08312535","TARRINAS MED/MAXI VARIOS"
"08312540","PERRO HUMEDO SOBRES"
"08312545","PERRO SALCHICHA"
"08313005","STICKS DENTALES UNIT MINI"
"08313010","STICKS DENTALES UNIT MED/MAXI"
"08313015","STICKS DENTALES MPACK MINI"
"08313020","STICKS DENTALES MPACK MED/MAXI"
"08313025","SNACKS NO DENTAL TIRAS"
"08313030","SNACKS NO DENTAL GALLETAS"
"08313035","SNACKS NO DENTAL VARIOS"
"08313505","JUNIOR"
"08313510","ADULTO - 1,5KG"
"08313515","ADULTO + 1,5KG CARNE ROJA"
"08313520","ADULTO + 1,5KG PESCADO"
"08313525","ADULTO + 1,5KG CARNE BLANCA"
"08313535","ESPECIALIDADES"
"08313540","ESTERILIZADO ADULTO - 1KG"
"08313545","ESTERILIZADO ADULTO + 1KG"
"08313550","ESTERILIZADO ESPECIALIDADES"
"08314005","LATAS"
"08314010","LATITAS INDIVIDUALES PESCADO"
"08314015","LATITAS INDIVIDUALES VARIOS"
"08314020","LATITAS MPACK"
"08314025","TARRINAS"
"08314030","SOBRES RACION INDIVIDUAL"
"08314035","SOBRES MPACK SABOR PESCADO"
"08314040","SOBRES MPACK SABOR AVE"
"08314045","SOBRES MPACK SABORES VARIOS"
"08314505","GATO SNACKS"
"08314510","GATO SNACKS ANTIBOLAS"
"08314515","GATO SNACKS STICKS"
"08315005","ARENA GATO"
"08315010","ARENA GATO PERLAS SILICE"
"08315503","PERRO HUESOS"
"08315506","PERRO HIGIENE DESPARASITACION"
"08315509","PERRO HIGIENE COLLARES"
"08315512","PERRO HIGIENE CHAMPU"
"08315515","PERRO HIGIENE VARIOS"
"08315521","PERRO JUEGOS"
"08316005","GATO HIGIENE DESPARASITACION"
"08316010","GATO HIGIENE VARIOS"
"08316020","GATO JUEGOS"
"08316025","GATO SEGURIDAD"
"08316505","PAJAROS BARRITAS"
"08316510","PAJAROS SEMILLAS"
"08317005","ALI Y ACC OTROS ANIMALES"
"08317015","ALIMENTACION PECES TORTUGAS"
"08330301","CHOCOLATEADO BARRITA LC"
"08330307","CHOCOLATEADO GRAGEA LC"
"08330320","CHOCOLATEADO RESTO LC"
"08330901","SNACKS SALADOS"
"08331005","BALSAMICO FRUTAL LC"
"08331010","BALSAMICO MENTOLADO LC"
"08331015","COMPRIMIDO FRUTAL LC"
"08331020","COMPRIMIDO MENTOLADO LC"
"08331025","CON PALO LC"
"08331030","MASTICABLE LC"
"08331035","RESTO LC"
"08331505","DISFRUTE FRUTAL GRAGEA LC"
"08331510","DISFRUTE FRUTAL LAMINA LC"
"08331515","DISFRUTE MENTOLADO LC"
"08331520","FUNCIONAL FRUTAL LC"
"08331525","FUNCIONAL MENTOL GRAGEA BT LC"
"08331530","FUNCIONAL MENTOL GRAGEA P. LC"
"08331535","FUNCIONAL MENTOL LAMINA LC"
"08332005","LICENCIA LC"
"08361005","GOLOSINAS FORMATO FAMILIAR"
"08361010","GOLOSINAS BRILLO BAJO GRAMAJE"
"08361015","GOLOSINAS AZUCAR BAJO GRAMAJE"
"08361020","GOLOSINAS PICA BAJO GRAMAJE"
"08361025","REGALICES BAJO GRAMAJE"
"08390505","MEXICANA APERITIVOS"
"08390510","MEXICANA ESPECIALIZACION"
"08390515","MEXICANA KITS"
"08390520","MEXICANA MASAS"
"08390525","MEXICANA SALSAS"
"08390530","LATINA Y CRIOLLA"
"08391005","CHINA"
"08391010","INDIA Y THAI"
"08391015","JAPONESA"
"08391020","COMIDA ASIATICA RESTO"
"08391505","ARABE"
"08391510","COMIDA RESTO RESTO"
"08420505","SNACKS"
"08420510","CEREALES, GALLETAS Y PAN"
"08420515","SALSA"
"08420520","COMIDA ALEMANA RESTO"
"08421005","COMIDA  INGLESA RESTO"
"08421010","CEREALES, PAN MOLDE Y GALLETAS"
"08421015","CHOCOLATE"
"08421020","MERMELADAS"
"08421025","SOPA Y SALSAS"
"08421030","TE Y AZUCAR"
"08421505","COMIDA  FRANCESA"
"08422005","COMIDA  HOLANDESA"
"08422505","COMIDA  RESTO"
"08450505","COCINA"
"08451005","SALUD"
"08451505","FRUTAS DESHIDRATADAS CIRUELAS"
"08451510","FRUTAS DESHIDRATADAS DATILES"
"08451515","FRUTAS DESHIDRATADAS HIGOS"
"08451520","FRUTAS DESHIDRATADAS OREJONES"
"08451525","FRUTAS DESHIDRATADAS PASAS"
"08451530","FRUTAS DESHIDRATADAS OTROS"
"08452005","FRUTOS SEC. S/CASCARA ALMENDRA"
"08452010","FRUTOS SEC. S/CASCARA AVELLANA"
"08452015","FRUTOS SEC. S/CASCARA NUEZ"
"08452020","FRUTOS SEC. S/CASCARA COCKTAIL"
"08452025","FRUTOS SEC. S/ CASCARA OTROS"
"08452505","FRUTOS SEC. C/CASCARA PISTACHO"
"08452510","FRUTOS SEC. C/CASCARA NUEZ"
"08452515","FRUTOS SEC. C/CASCARA OTROS"
"08480505","ACEITUNAS TRADICIONALES"
"08481005","ENCURTIDOS TRADICIONALES"
"09010101","ACEITE DE OLIVA 0,4 1L"
"09010103","ACEITE OLIVA 0,4º FORM.GRANDES"
"09010107","ACEITE DE OLIVA 1º 1L"
"09010109","ACEITE OLIVA 1º FORM. GRANDES"
"09010111","OTROS ACEITES OLIVA"
"09010301","ACEITE V. EXTRA  500 ML"
"09010302","ACEITE V. EXTRA 500 ML D.O."
"09010303","ACEITE V. EXTRA  0,75 L Y LATA"
"09010304","ESPECIALES 0,75 Y LATAS  D.O."
"09010305","ACEITE VIRGEN FORMATOS GRANDES"
"09010306","ESPECIALES PEQUEÑOS Y SPRAYS"
"09010307","ACEITE VIRGEN FORMATO PET"
"09010315","ACEITE V. EXTRA FORMATO PET"
"09010320","ACEITE V. EXTRA PET VARIETAL"
"09010501","ACEITES GIRASOL 1L"
"09010503","ACEITE GIRASOL FORMATO GRANDE"
"09010701","ACEITE DE MAIZ"
"09010703","OTROS ACEITES DE SEMILLAS"
"09020505","VINAGRES DE VINO PEQUEÑOS"
"09020510","VINAGRES DE VINO 1L"
"09021005","VINAGRES DE MANZANA O SIDRA"
"09021505","VINAGRES DE JEREZ Y OTROS"
"09021510","VINAGRES BALSAMICOS"
"09021515","VINAGRES AROMATIZADOS"
"09021520","CREMAS VINAGRE BALSAMICO"
"09021525","CREMAS VINAGRE FRUTA Y OTROS"
"09022005","VINAGRETAS"
"09022010","ADEREZOS LIMON"
"09022015","VINOS COCINAR"
"09030301","MAYO.S.FINAS FCO HASTA 300 ML"
"09030303","MAYO.S.FINAS FCO MAS 300 ML"
"09030306","MAYO.S.FINAS PET HASTA 300 ML"
"09030307","MAYO.S.FINAS PET MAS 300 ML"
"09030308","MAYONESAS SOBRES"
"09030309","SALSAS LIGERAS FRASCO"
"09030312","SALSAS LIGERAS PET"
"09030313","MAYONESAS C/OLIVA"
"09030340","MAYONESAS OTRAS"
"09030501","KETCHUP SALUD"
"09030502","KETCHUP MENOS 400 G"
"09030503","KETCHUP MAS 400 G"
"09030505","KETCHUP ESPECIALIDADES"
"09030515","KETCHUP SOBRES"
"09030703","MOSTAZAS PET Y SOBRES"
"09030707","MOSTAZAS DIJON"
"09030709","MOSTAZAS ANTIGUA"
"09030798","MOSTAZAS OTRAS FCO"
"09030805","SALSAS CESAR"
"09030810","SALSAS YOGURT"
"09030815","SALSAS MOSTAZA Y MIEL"
"09030820","SALSAS ENSALADA OTRAS"
"09030901","SALSAS ROSA COCKTAIL"
"09030903","SALSAS BARBACOA"
"09030904","SALSAS TARTARA"
